beyer	1357	beyer
bibiana	1078	bibiana
bienvenido	804	bienvenido
bilbao	803	bilbao
blanca	2399	blanca
blanco	2194	blanco
blum	856	blum
boada	110	boada
bohoquez	1328	bohóquez
bohorquez	2442	bohórquez
bolaños	887	bolaños
bolivar	1974	bolívar
bonifacio	579	bonifacio
bonilla	2103	bonilla
bonza	358	bonza
borja	1829	borja
borras	1529	borras
bosiga	953	bosiga
bosigas	604	bosigas
botello	1810	botello
botero	707	botero
botia	413	botia
bottia	319	bottia
boyaca	1658	boyacá
bran	1332	bran
brando	863	brando
braulio	1156	braulio
bredemir	461	bredemir
brenda	1001	brenda
bricelda	104	bricelda
brigida	80	brígida
brigit	801	brigit
brigith	294	brigith
brijaldo	1926	brijaldo
briseida	512	briseida
brown	1725	brown
brunequilde	588	brunequilde
buenaventura	1866	buenaventura
buitraago	1184	buitraago
buitrago	2482	buitrago
burgos	2019	burgos
buritica	1294	buriticá
bustamante	1743	bustamante
busto	992	busto
bustos	35	bustos
caballero	2023	caballero
cabanzo	1676	cabanzo
cabra	1929	cabra
cabrera	2030	cabrera
cabulo	1477	cabulo
caceres	2173	cáceres
cadavid	1138	cadavid
cahueño	1307	cahueño
caicedo	2004	caicedo
cainaba	1702	cainaba
calderon	2293	calderón
calero	948	calero
callejas	57	callejas
camacho	2320	camacho
camano	1231	camano
camargo	2445	camargo
camberos	520	camberos
camero	299	camero
campo	2213	campo
campoelias	271	campoelías
canal	1317	canal
cancelado	838	cancelado
candia	1429	candia
candida	494	cándida
cano	930	cano
caranton	1206	carantón
carantonio	1349	carantonio
cardenas	2479	cárdenas
cardozo	2387	cardozo
caren	487	caren
carla	188	carla
carlos	2467	carlos
carmela	67	carmela
carmelina	1361	carmelina
carmelo	1720	carmelo
carmen	2415	carmen
carmenza	1656	carmenza
carnica	823	carnica
caro	1660	caro
carranza	1685	carranza
carrasco	471	carrasco
carrera	1412	carrera
carreño	2253	carreño
carvajal	2443	carvajal
carvajalino	885	carvajalino
carzon	1247	carzón
casallas	91	casallas
casanova	84	casanova
casiano	158	casiano
castañeda	2430	castañeda
castaño	756	castaño
casteblanco	2032	casteblanco
castelblanco	1916	castelblanco
castellano	124	castellano
castellanos	2378	castellanos
castiblanco	2364	castiblanco
castilla	424	castilla
castillo	2319	castillo
castrillon	758	castrillón
castro	2281	castro
catalina	595	catalina
cataño	713	cataño
caterine	1401	caterine
catimay	526	catimay
caviedes	1721	caviedes
cavieles	634	cavieles
cayetano	991	cayetano
cañadulce	278	cañadulce
cañizales	603	cañizales
cañon	1941	cañón
cecilia	2447	cecilia
cecilio	52	cecilio
cedeño	1807	cedeño
cediel	347	cediel
ceila	94	ceila
celedonio	1152	celedonio
celestino	1744	celestino
celina	1648	celina
celis	614	celis
celso	1057	celso
cely	1885	cely
cendales	1131	cendales
cened	1354	cened
cepeda	2325	cepeda
cequera	1224	cequera
cercado	1237	cercado
ceron	1617	cerón
cervantes	1483	cervantes
cesar	1995	césar
cespedes	2053	céspedes
cetro	668	cetro
chacin	1383	chacín
chaparro	2401	chaparro
charles	276	charles
chavarro	408	chavarro
chaverra	519	chaverra
chavez	2059	chávez
chavita	125	chavita
chia	1708	chía
chillan	1183	chillán
chinchilla	1815	chinchilla
chiquillo	1327	chiquillo
chiquinquira	832	chiquinquirá
chirivi	182	chirivi
choconta	1127	chocontá
cibo	1043	cibo
cielo	111	cielo
cifuentes	2389	cifuentes
cilia	1831	cilia
cipacon	34	cipacón
cipagauta	2193	cipagauta
cipamocha	1967	cipamocha
ciranicicua	1578	ciranicicua
circunsicion	1264	circunsición
ciro	1771	ciro
cisneros	973	cisneros
civel	820	civel
claribel	1142	claribel
clarivel	1140	clarivel
claudia	2184	claudia
clavijo	879	clavijo
clemencia	2094	clemencia
clemente	392	clemente
cleonimo	924	cleónimo
cleotilde	123	cleotilde
cley	453	cley
climaco	1399	clímaco
clodomiro	632	clodomiro
clodosinda	63	clodosinda
cloromiro	1125	cloromiro
clovaldo	1053	clovaldo
clovis	38	clovis
cloviz	251	cloviz
cobo	224	cobo
cocinero	721	cocinero
cojo	956	cojo
colmenares	2361	colmenares
colombia	1868	colombia
combariza	1544	combariza
conave	145	conave
concepcion	2301	concepción
consejo	535	consejo
consicion	1364	consición
constantino	849	constantino
constanza	2031	constanza
consuelo	1455	consuelo
continchara	129	continchara
contreras	2366	contreras
corazon	1129	corazón
cordero	1687	cordero
cordoba	2273	córdoba
coronado	2158	coronado
coronel	1411	coronel
correa	2090	correa
correales	243	correales
corredor	2400	corredor
corso	925	corso
cortazar	189	cortázar
cortes	805	cortés
corzo	777	corzo
cosecha	202	cosecha
cote	566	cote
crisanto	371	crisanto
cristancho	2402	cristancho
cristian	498	cristian
cristiano	1856	cristiano
cristina	2236	cristina
cristo	1561	cristo
cristobal	2280	cristóbal
cruz	2222	cruz
cualla	516	cualla
cubides	2212	cubides
cubillos	1085	cubillos
cuburuco	1707	cuburuco
cucanchon	30	cucanchón
cuchigay	800	cuchigay
cucunuba	1341	cucunubá
cuellar	503	cuéllar
cuervo	376	cuervo
cuevas	2153	cuevas
culma	1768	culma
culman	833	culman
cupasachoa	1298	cupasachoa
curtidor	1689	curtidor
cusaria	1248	cusaría
custodia	1550	custodia
custodio	1679	custodio
cutiva	1440	cutiva
cutiño	1134	cutiño
daisy	1277	daisy
dalila	1817	dalila
dallos	664	dallos
damian	1154	damián
damile	138	damile
daniel	1890	daniel
danila	1167	danila
danilo	379	danilo
dario	1165	darío
darley	163	darley
dary	1914	dary
david	244	david
daza	1519	daza
de	2220	de
debora	432	débora
deisy	936	deisy
del	2260	del
delcy	830	delcy
delfina	41	delfina
delgadillo	1882	delgadillo
delgado	1983	delgado
delmar	812	delmar
demetrio	1979	demetrio
democrito	268	demócrito
denice	1018	denice
denire	537	denire
denis	407	denis
deniz	219	deniz
denys	1214	denys
deogracias	1762	deogracias
deomedes	370	deomedes
depablo	941	depablo
desenia	741	desenia
desiderio	1904	desiderio
deyanira	1391	deyanira
dia	1049	día
diana	1871	diana
diaz	2358	díaz
didier	986	didier
didimo	627	dídimo
dilia	1737	dilia
dilsa	1230	dilsa
dinael	1252	dinael
dinarco	1062	dinarco
dince	943	dince
diocides	292	diocides
dioclides	891	dioclides
diogenes	1577	diógenes
diomedes	1642	diomédes
diomedez	174	diomédez
diomira	981	diomira
dione	442	dione
dionisia	1066	dionisia
dionisio	1335	dionisio
dios	1853	dios
diosa	882	diosa
diosde	783	diosde
dioselina	1804	dioselina
diva	577	diva
dolis	0	dolis
dolores	2256	dolores
domingo	2214	domingo
domitila	1820	domitila
donaldo	1276	donaldo
donato	1736	donato
doncel	7	doncel
donima	619	donima
donoso	1799	donoso
doralba	1505	doralba
dorcinda	1405	dorcinda
dorelly	860	dorelly
doris	327	doris
dorita	610	dorita
dorly	1261	dorly
dositeo	1403	dositeo
douglas	1667	douglas
drigelio	1208	drigelio
drugelio	180	drugelio
duarte	1697	duarte
dueñas	2306	dueñas
dueñez	842	dueñez
duffay	1027	duffay
dugand	51	dugand
duitama	1173	duitama
dumas	1386	dumas
duran	2187	durán
durango	122	durango
dusan	538	dusán
dustano	1794	dustano
eccehomo	921	eccehomo
echavarria	65	echavarría
echenique	926	echenique
echeverri	228	echeverri
echeverria	2265	echeverría
echeverry	1207	echeverry
edelmira	2087	edelmira
eden	720	eden
edgar	2406	edgar
edgardo	1202	edgardo
edid	1508	edid
edigio	354	edigio
edilberto	2284	edilberto
edilia	2182	edilia
edilio	1596	edilio
edilma	2211	edilma
edilsa	1588	edilsa
edilson	1144	edilson
edinson	915	edinson
edise	1190	edise
edison	847	edison
edita	628	edita
edith	2360	edith
edmundo	1342	edmundo
edna	1579	edna
eduard	1260	eduard
eduardo	2405	eduardo
eduviges	2061	eduviges
eduvina	44	eduvina
edward	1262	edward
edwin	2148	edwin
efigenia	1936	efigenia
efrain	1893	efraín
efren	377	efrén
egue	229	egue
eileen	1011	eileen
