clavijo	879
clemencia	2094
clemente	392
cleotilde	123
cley	453
cleónimo	924
clodomiro	632
clodosinda	63
cloromiro	1125
clovaldo	1053
clovis	38
cloviz	251
clímaco	1399
cobo	224
cocinero	721
cojo	956
colmenares	2361
colombia	1868
combariza	1544
conave	145
concepción	2301
consejo	535
consición	1364
constantino	849
constanza	2031
consuelo	1455
continchara	129
contreras	2366
corazón	1129
cordero	1687
coronado	2158
coronel	1411
correa	2090
correales	243
corredor	2400
corso	925
cortázar	189
cortés	805
corzo	777
cosecha	202
cote	566
crisanto	371
cristancho	2402
cristian	498
cristiano	1856
cristina	2236
cristo	1561
cristóbal	2280
cruz	2222
cualla	516
cubides	2212
cubillos	1085
cuburuco	1707
cucanchón	30
cuchigay	800
cucunubá	1341
cuervo	376
cuevas	2153
culma	1768
culman	833
cupasachoa	1298
curtidor	1689
cusaría	1248
custodia	1550
custodio	1679
cutiva	1440
cutiño	1134
cuéllar	503
cáceres	2173
cándida	494
cárdenas	2479
césar	1995
céspedes	2053
córdoba	2273
daisy	1277
dalila	1817
dallos	664
damile	138
damián	1154
daniel	1890
danila	1167
danilo	379
darley	163
dary	1914
darío	1165
david	244
daza	1519
de	2220
deisy	936
del	2260
delcy	830
delfina	41
delgadillo	1882
delgado	1983
delmar	812
demetrio	1979
demócrito	268
denice	1018
denire	537
denis	407
deniz	219
denys	1214
deogracias	1762
deomedes	370
depablo	941
desenia	741
desiderio	1904
deyanira	1391
diana	1871
didier	986
dilia	1737
dilsa	1230
dinael	1252
dinarco	1062
dince	943
diocides	292
dioclides	891
diomira	981
diomédes	1642
diomédez	174
dione	442
dionisia	1066
dionisio	1335
dios	1853
diosa	882
diosde	783
dioselina	1804
diva	577
diógenes	1577
dolis	0
dolores	2256
domingo	2214
domitila	1820
donaldo	1276
donato	1736
doncel	7
donima	619
donoso	1799
doralba	1505
dorcinda	1405
dorelly	860
doris	327
dorita	610
dorly	1261
dositeo	1403
douglas	1667
drigelio	1208
drugelio	180
duarte	1697
dueñas	2306
dueñez	842
duffay	1027
dugand	51
duitama	1173
dumas	1386
durango	122
durán	2187
dustano	1794
dusán	538
débora	432
día	1049
díaz	2358
dídimo	627
eccehomo	921
echavarría	65
echenique	926
echeverri	228
echeverry	1207
echeverría	2265
edelmira	2087
eden	720
edgar	2406
edgardo	1202
edid	1508
edigio	354
edilberto	2284
edilia	2182
edilio	1596
edilma	2211
edilsa	1588
edilson	1144
edinson	915
edise	1190
edison	847
edita	628
edith	2360
edmundo	1342
edna	1579
eduard	1260
eduardo	2405
eduviges	2061
eduvina	44
edward	1262
edwin	2148
efigenia	1936
efraín	1893
efrén	377
egue	229
eileen	1011
eladio	2228
elba	497
elberth	451
elcira	162
elcy	267
elena	1609
eleuterio	1099
eleázar	2089
elfa	1410
eliade	341
eliades	952
eliana	1489
elibardo	725
elicenia	17
elicerio	906
elidia	1068
elina	1103
eliodoro	1117
elisa	1467
elisenia	1225
eliseo	12
elisinda	631
elizabeth	2372
elizalde	366
eliécer	2323
elkin	473
elmer	390
elmira	304
elmo	1228
elogia	149
elogio	403
eloima	217
eloy	117
eloísa	1368
elpidia	1418
elpidio	876
elsa	1528
elsy	993
eltimio	308
elvecina	144
elver	1780
elverth	857
elvia	1435
elviatila	788
elvinia	818
elvis	1805
elías	2128
embus	1413
emel	594
emeregildo	19
emerejildo	1316
emeterio	1603
emidio	1244
emigdio	2088
emilda	774
emilia	2034
emiliano	1641
emilio	2067
emir	1818
emira	1606
emma	2044
emperatríz	1863
empidia	1710
empidio	1572
emérita	1433
enciso	533
enelcito	1060
enelia	749
engracia	867
enith	1124
enrico	724
enrique	2407
enriqueta	1023
ensueño	414
epaminondas	1848
eparquio	1334
epifanio	1562
epifanía	1392
epimenia	739
epimenio	1319
epulerio	501
eraldo	387
erasmo	2230
ercilda	513
ercinda	1622
erculano	166
erie	902
erika	872
erikson	620
eriselva	240
erisinda	836
ermelina	4
ermeregildo	715
ermides	195
ernestina	2013
ernesto	2345
erwin	1407
esaú	1422
escalante	1580
escalona	639
escamilla	766
escipión	496
esclamación	685
esclavación	24
escobar	1249
escárraga	495
esguerra	1532
eslava	1531
esmeraldas	1320
esneda	1515
espalsa	321
española	1093
esperanza	2178
espinel	754
espinosa	2337
espitia	2435
esposorio	669
espíndola	285
espíritu	1992
esquivel	1806
estanislao	1977
estaurofilo	1739
estela	1896
estepa	1400
ester	340
esthela	1373
esther	2176
estolgio	1388
estrella	2240
estupiñán	2450
esturofilo	1460
estéban	1970
estévez	1865
esusenio	11
etelvina	1501
eucaris	1395
euclides	1083
eudilio	88
eudocia	1179
eudora	654
eudoro	1907
eudosia	527
eufracio	871
eugenia	2248
eugenio	1647
eulalia	1369
eulegelo	298
eulejelo	1636
eulises	562
eulogio	399
eunice	27
eurípides	2227
euscátegui	880
eusebio	2191
eustacio	1160
eustaquio	2170
eutimio	1472
eutiquiano	1920
eutiquio	73
eva	398
evangelina	2132
evangelino	899
evangelista	2040
evaristo	545
evelia	76
evelina	433
evelio	1151
evelyn	1200
ever	1834
everardo	339
evergisto	283
evert	719
evidalio	1378
evita	37
excehomo	2231
exehomo	310
exenover	1050
exneider	55
expedito	1653
eysy	127
ezequiel	1666
faber	1091
fabiola	1619
fabián	156
fabriciano	1032
facundo	1846
faid	629
fajardo	1927
falck	1118
fandiño	1879
fanny	1910
fany	1324
faracica	811
farasica	1075
faresica	1283
farfán	2326
farid	1005
farías	1629
faunir	1158
faura	1500
faustino	1901
feber	325
feliciano	702
felicita	49
felípe	2036
ferias	1155
ferleín	544
fermán	56
fermín	2104
fernanda	1757
fernando	2380
ferney	1987
fernández	2396
ferreira	1632
ferrucho	235
fetecua	1121
fibracio	1097
fidedigna	429
fidel	1493
fideligna	2112
fideligno	1783
figueredo	2352
figueroa	2433
filadelfia	786
filemón	1837
filipo	1300
fino	1253
firacative	2202
firavitoba	723
fitfield	955
flaminio	2296
flavia	735
flavio	1227
flechas	1430
flor	2232
floralba	2215
floranda	960
florelba	409
florentino	1881
floresmiro	624
floriberto	935
florinda	484
floripes	1250
florisene	1236
florián	1506
floro	976
florángela	884
flover	1302
flóres	425
flórez	2037
fonque	550
fonseca	2454
fontalvo	277
forero	2329
forigua	1313
fosión	737
fracila	920
fraile	551
francelina	738
franci	1169
francisca	1564
francisco	2471
franco	2150
francy	1474
franklin	2177
franklyn	1661
franqui	1985
fravio	569
fredesminda	1958
fredi	2017
fredy	2261
freite	227
fresneda	1767
froilán	1575
froylán	71
fructoso	342
fructuoso	1452
frías	591
frígida	521
fuentes	2411
fula	1670
fulgencio	1329
fulvio	676
fuquen	1522
félix	2219
fúquene	1449
gabriel	2374
gabrielina	1102
gabrielino	1077
gaby	468
gachagoque	2201
gachantivá	1337
gaitán	984
galdames	448
galeano	1604
galindes	1128
galindo	1843
gallo	21
galvis	553
galván	585
gamadiel	45
gambacica	582
gaona	446
garavito	1769
garcés	2269
garcía	2409
garizabal	623
garnica	326
garzón	2081
gaucha	213
gavanzo	652
gavilán	1064
gaviria	2160
gelacio	1741
gelvis	1465
genaro	1921
genis	1146
genoveva	1883
genovés	1291
genri	502
genry	824
gentil	22
georgina	1778
geovani	651
geovany	404
gerardina	218
gerardo	1984
geremías	401
germán	2224
gertrudis	2285
gervacio	1299
gil	2101
gilberto	2348
gildardo	1954
gilde	54
gilma	731
gilmary	810
gimena	1122
giménez	2018
giovana	576
giovani	1238
giovanni	301
giovanny	1972
giovany	1220
giraldo	2183
girata	541
girón	1839
gisela	1476
giselle	1150
gladys	2456
glenda	79
glori	39
gloria	2451
goneche	612
gonzaga	568
gonzalo	2172
gonzález	2485
gonźalez	1450
